25/02/2019 12:04
Time (s), Time step (s),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel
156259.200000,0.101000,0.000000,0.000000,0.000000,56.884722,50.000000,10.000000,10.000000,10.000000,10.000000
159519.549000,0.099000,0.000000,0.000000,0.000000,56.884722,50.000000,10.000000,10.000000,10.000000,10.000000
162780.000000,0.101000,0.000000,0.000000,0.000000,56.883333,50.000000,10.000000,10.000000,10.000000,10.000000
166040.700000,0.100000,0.000000,0.000000,0.000000,56.883333,50.000000,10.000000,10.000000,10.000000,10.000000
169301.600000,0.100000,0.000000,0.000000,0.000000,56.881944,50.000000,10.000000,10.000000,10.000000,10.000000
172562.753000,0.100000,0.000000,0.000000,0.000000,56.881944,50.000000,10.000000,10.000000,10.000000,10.000000
175824.000000,0.101000,0.000000,0.000000,0.000000,56.881944,50.000000,10.000000,10.000000,10.000000,10.000000
179085.500000,0.099000,0.000000,0.000000,0.000000,56.880556,50.000000,10.000000,10.000000,10.000000,10.000000
182347.200000,0.101000,0.000000,0.000000,0.000000,56.880556,50.000000,10.000000,10.000000,10.000000,10.000000
185609.100000,0.100000,0.000000,0.000000,0.000000,56.879167,50.000000,10.000000,10.000000,10.000000,10.000000
188871.200000,0.100000,0.000000,0.000000,0.000000,56.879167,50.000000,10.000000,10.000000,10.000000,10.000000
192133.500000,0.100000,0.000000,0.000000,0.000000,56.877778,50.000000,10.000000,10.000000,10.000000,10.000000
195396.000000,0.100000,0.000000,0.000000,0.000000,56.876389,50.000000,10.000000,10.000000,10.000000,10.000000
198658.700000,0.100000,0.000000,0.000000,0.000000,56.875000,50.000000,10.000000,10.000000,10.000000,10.000000
201921.600000,0.100000,0.000000,0.000000,0.000000,56.875000,50.000000,10.000000,10.000000,10.000000,10.000000
205184.700000,0.101000,0.000000,0.000000,0.000000,56.873611,50.000000,10.000000,10.000000,10.000000,10.000000
208448.000000,0.100000,0.000000,0.000000,0.000000,56.873611,50.000000,10.000000,10.000000,10.000000,10.000000
211711.500000,0.100000,0.000000,0.000000,0.000000,56.872222,50.000000,10.000000,10.000000,10.000000,10.000000
214975.200000,0.100000,0.000000,0.000000,0.000000,56.872222,60.000000,10.000000,10.000000,10.000000,10.000000
218239.167000,0.100000,0.000000,0.000000,0.000000,56.872222,60.000000,10.000000,10.000000,10.000000,10.000000
