25/02/2019 12:00,,,,,,,,,,,,
Time (s),Time step (s),X dist,X duty,X freq,Y dist,Y velocity,Y acc,Y freq, X accel, X decel, Y accel, Y decel
250889.1,0.1,0,0,0,56.859722,568.59722,56.1592297,110,10,10,10,10
254155.2,0.1,0,0,0,56.856944,568.56944,-0.2778,120,10,10,10,10
257421.5,0.1,0,0,0,56.854167,568.54167,-0.2777,120,10,10,10,10
260688,0.1,0,0,0,56.852778,568.52778,-0.1389,130,10,10,10,10
263954.781,0.1,0,0,0,56.851389,568.51389,-0.1389,130,10,10,10,10
267221.6,0.101,0,0,0,56.85,562.8712871,-55.86735516,140,10,10,10,10
270488.7,0.1,0,0,0,56.847222,568.47222,56.00932871,140,10,10,10,10
273756,0.1,0,0,0,56.844444,568.44444,-0.2778,150,10,10,10,10
277023.5,0.1,0,0,0,56.843056,568.43056,-0.1388,150,10,10,10,10
280291.2,0.1,0,0,0,56.841667,568.41667,-0.1389,160,10,10,10,10
283559.1,0.1,0,0,0,56.838889,568.38889,-0.2778,160,10,10,10,10
286827.2,0.101,0,0,0,56.834722,562.7200198,-56.1274277,170,10,10,10,10
290095.5,0.099,0,0,0,56.833333,574.0740707,114.6873829,170,10,10,10,10
293364,0.101,0,0,0,56.830556,562.6787723,-112.8247369,180,10,10,10,10
296632.7,0.1,0,0,0,56.827778,568.27778,55.99007723,180,10,10,10,10
299901.6,0.1,0,0,0,56.825,568.25,-0.2778,190,10,10,10,10
303170.7,0.1,0,0,0,56.822222,568.22222,-0.2778,190,10,10,10,10
306440,0.1,0,0,0,56.819444,568.19444,-0.2778,200,10,10,10,10
309709.5,0.101,0,0,0,56.815278,562.527505,-56.10826782,200,10,10,10,10
312979.296,0.099,0,0,0,56.8125,573.8636364,114.5063779,210,10,10,10,10
316249.1,0.101,0,0,0,56.811111,562.4862475,-112.6474142,210,10,10,10,10
319519.2,0.1,0,0,0,56.805556,568.05556,55.69312475,220,10,10,10,10
322789.599,0.1,0,0,0,56.802778,568.02778,-0.2778,220,10,10,10,10
326060,0.101,0,0,0,56.8,562.3762376,-55.95586511,230,10,10,10,10
329330.7,0.099,0,0,0,56.795833,573.6952828,114.3337899,230,10,10,10,10
332601.6,0.101,0,0,0,56.793056,562.3074851,-112.7504721,240,10,10,10,10
335872.803,0.099,0,0,0,56.790278,573.6391717,114.4614805,240,10,10,10,10
339144,0.101,0,0,0,56.784722,562.2249703,-113.0118952,250,10,10,10,10
342415.5,0.1,0,0,0,56.781944,567.81944,55.94469703,250,10,10,10,10
345687.2,0.1,0,0,0,56.777778,567.77778,-0.4166,260,10,10,10,10
348959.207,0.1,0,0,0,56.773611,567.73611,-0.4167,260,10,10,10,10
352231.2,0.101,0,0,0,56.770833,562.0874554,-55.92727282,270,10,10,10,10
355503.609,0.099,0,0,0,56.765278,573.3866465,114.1332426,270,10,10,10,10
358776,0.101,0,0,0,56.7625,562.0049505,-112.6900591,280,10,10,10,10
362048.7,0.1,0,0,0,56.756944,567.56944,55.64489505,280,10,10,10,10
365321.6,0.1,0,0,0,56.754167,567.54167,-0.2777,290,10,10,10,10
368594.7,0.1,0,0,0,56.748611,567.48611,-0.5556,290,10,10,10,10
371868,0.1,0,0,0,56.744444,567.44444,-0.4167,300,10,10,10,10
375141.5,0.101,0,0,0,56.740278,561.7849307,-56.03474561,300,10,10,10,10
378415.2,0.099,0,0,0,56.734722,573.078,114.0714071,310,10,10,10,10
381689.1,0.101,0,0,0,56.730556,561.6886733,-112.7656112,310,10,10,10,10
384963.2,0.1,0,0,0,56.725,567.25,55.61326733,320,10,10,10,10
388237.5,0.101,0,0,0,56.720833,561.5924059,-56.01578277,320,10,10,10,10
391512,0.099,0,0,0,56.715278,572.881596,114.0322224,330,10,10,10,10
