14/02/2019 12:03
Time (ms)	X dist	X duty	X freq	Y dist	Y freq	
0.000000	0.000000	0.000000	0.000000	0.000000	100000.000000
50.000000	0.000000	0.000000	0.000000	0.000000	100000.000000
100.000000	0.001661	0.000000	0.000000	-1.452889	100000.000000
150.000000	0.001661	0.000000	0.000000	-2.925236	100000.000000
200.000000	0.001661	0.000000	0.000000	-4.397583	100000.000000
250.000000	0.001661	0.000000	0.000000	-5.863444	100000.000000
300.000000	0.001661	0.000000	0.000000	-7.329306	100000.000000
350.000000	0.001661	0.000000	0.000000	-8.808139	100000.000000
400.000000	0.001661	0.000000	0.000000	-10.241569	100000.000000
450.000000	0.001661	0.000000	0.000000	-11.713917	100000.000000
500.000000	0.001661	0.000000	0.000000	-13.179778	100000.000000
550.000000	0.001661	0.000000	0.000000	-14.652125	100000.000000
600.000000	0.001661	0.000000	0.000000	-16.117986	100000.000000
650.000000	0.001661	0.000000	0.000000	-17.590333	100000.000000
700.000000	0.001661	0.000000	0.000000	-19.062681	100000.000000
750.000000	0.001661	0.000000	0.000000	-20.528542	100000.000000
800.000000	0.001661	0.000000	0.000000	-22.000889	100000.000000
850.000000	0.001661	0.000000	0.000000	-23.473236	100000.000000
900.000000	0.001661	0.000000	0.000000	-24.939097	100000.000000
950.000000	0.001661	0.000000	0.000000	-26.411444	100000.000000
1000.000000	0.001661	0.000000	0.000000	-27.890278	100000.000000
1050.000000	0.001661	0.000000	0.000000	-29.356139	100000.000000
1100.000000	0.001661	0.000000	0.000000	-30.828486	100000.000000
1150.000000	0.001661	0.000000	0.000000	-32.294347	100000.000000
1200.000000	0.001661	0.000000	0.000000	-33.760208	100000.000000
1250.000000	0.001661	0.000000	0.000000	-35.226069	100000.000000
1300.000000	0.001661	0.000000	0.000000	-36.698417	100000.000000
1350.000000	0.001661	0.000000	0.000000	-38.170764	100000.000000
1400.000000	0.001661	0.000000	0.000000	-39.643111	100000.000000
1450.000000	0.001661	0.000000	0.000000	-41.115458	100000.000000
1500.000000	0.001661	0.000000	0.000000	-42.581319	100000.000000
1550.000000	0.001661	0.000000	0.000000	-44.014750	100000.000000
1600.000000	0.001661	0.000000	0.000000	-45.487097	100000.000000
1650.000000	0.001661	0.000000	0.000000	-46.959444	100000.000000
1700.000000	0.001661	0.000000	0.000000	-48.399361	100000.000000
1750.000000	0.001661	0.000000	0.000000	-49.871708	100000.000000
1800.000000	0.001661	0.000000	0.000000	-51.331083	100000.000000
1850.000000	0.001661	0.000000	0.000000	-52.796944	100000.000000
1900.000000	0.001661	0.000000	0.000000	-54.262806	100000.000000
1950.000000	0.001661	0.000000	0.000000	-55.748125	100000.000000
2000.000000	0.001661	0.000000	0.000000	-57.213986	100000.000000
2050.000000	0.001661	0.000000	0.000000	-58.686333	100000.000000
2100.000000	0.001661	0.000000	0.000000	-60.158681	100000.000000
2150.000000	0.001661	0.000000	0.000000	-61.618056	100000.000000
2200.000000	0.001661	0.000000	0.000000	-63.083917	100000.000000
2250.000000	0.001661	0.000000	0.000000	-64.556264	100000.000000
2300.000000	0.001661	0.000000	0.000000	-66.028611	100000.000000
2350.000000	0.001661	0.000000	0.000000	-67.500958	100000.000000
2400.000000	0.001661	0.000000	0.000000	-68.973306	100000.000000
2450.000000	0.001661	0.000000	0.000000	-70.445653	100000.000000
2500.000000	0.001661	0.000000	0.000000	-71.905028	100000.000000
2550.000000	0.001661	0.000000	0.000000	-73.370889	100000.000000
2600.000000	0.001661	0.000000	0.000000	-74.843236	100000.000000
2650.000000	0.001661	0.000000	0.000000	-76.315583	100000.000000
2700.000000	0.001661	0.000000	0.000000	-77.794417	100000.000000
2750.000000	0.001661	0.000000	0.000000	-79.260278	100000.000000
2800.000000	0.001661	0.000000	0.000000	-80.726139	100000.000000
2850.000000	0.001661	0.000000	0.000000	-82.198486	100000.000000
2900.000000	0.001661	0.000000	0.000000	-83.670833	100000.000000
2950.000000	0.001661	0.000000	0.000000	-85.136694	100000.000000
3000.000000	0.001661	0.000000	0.000000	-86.602556	100000.000000
3050.000000	0.001661	0.000000	0.000000	-88.074903	100000.000000
3100.000000	0.001661	0.000000	0.000000	-89.547250	100000.000000
3150.000000	0.001661	0.000000	0.000000	-91.013111	100000.000000
3200.000000	0.001661	0.000000	0.000000	-92.491944	100000.000000
3250.000000	0.001661	0.000000	0.000000	-93.925375	100000.000000
3300.000000	0.001661	0.000000	0.000000	-95.397722	100000.000000
3350.000000	0.001661	0.000000	0.000000	-96.870069	100000.000000
3400.000000	0.001661	0.000000	0.000000	-98.335931	100000.000000
3450.000000	0.001661	0.000000	0.000000	-99.801792	100000.000000
3500.000000	0.001661	0.000000	0.000000	-101.274139	100000.000000
3550.000000	0.001661	0.000000	0.000000	-102.752972	100000.000000
3600.000000	0.001661	0.000000	0.000000	-104.218833	100000.000000
3650.000000	0.001661	0.000000	0.000000	-105.684694	100000.000000
3700.000000	0.001661	0.000000	0.000000	-107.150556	100000.000000
3750.000000	0.001661	0.000000	0.000000	-108.616417	100000.000000
3800.000000	0.001661	0.000000	0.000000	-110.088764	100000.000000
3850.000000	0.001661	0.000000	0.000000	-111.567597	100000.000000
3900.000000	0.001661	0.000000	0.000000	-113.039944	100000.000000
3950.000000	0.001661	0.000000	0.000000	-114.505806	100000.000000
4000.000000	0.001661	0.000000	0.000000	-115.971667	100000.000000
4050.000000	0.001661	0.000000	0.000000	-117.437528	100000.000000
4100.000000	0.001661	0.000000	0.000000	-118.903389	100000.000000
4150.000000	0.001661	0.000000	0.000000	-120.382222	100000.000000
