26/02/2019 12:20
Time (s), Time step (s),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel, X dist target, Y dist target
0.000000,1368.293000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000
0.211000,0.211000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
0.194000,0.097000,0.000000,0.000000,0.000000,0.000000,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
0.297000,0.099000,0.000000,0.000000,0.000000,-0.013889,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
0.400000,0.100000,0.000000,0.000000,0.000000,-0.030556,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
0.505000,0.101000,0.000000,0.000000,0.000000,-0.044444,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
0.594000,0.099000,0.000000,0.000000,0.000000,-0.061111,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
0.700000,0.100000,0.000000,0.000000,0.000000,-0.075000,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
0.800000,0.100000,0.000000,0.000000,0.000000,-0.091667,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
0.900000,0.100000,0.000000,0.000000,0.000000,-0.106944,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
1.010000,0.101000,0.000000,0.000000,0.000000,-0.122222,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
1.089000,0.099000,0.000000,0.000000,0.000000,-0.138889,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
1.200000,0.100000,0.000000,0.000000,0.000000,-0.154167,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
1.313000,0.101000,0.000000,0.000000,0.000000,-0.170833,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
1.386000,0.099000,0.000000,0.000000,0.000000,-0.184722,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
1.500000,0.100000,0.000000,0.000000,0.000000,-0.201389,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
1.616000,0.101000,0.000000,0.000000,0.000000,-0.216667,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
1.683000,0.099000,0.000000,0.000000,0.000000,-0.233333,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
1.800000,0.100000,0.000000,0.000000,0.000000,-0.248611,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
1.900000,0.100000,0.000000,0.000000,0.000000,-0.263889,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
2.000000,0.100000,0.000000,0.000000,0.000000,-0.280556,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
2.121000,0.101000,0.000000,0.000000,0.000000,-0.294444,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
2.178000,0.099000,0.000000,0.000000,0.000000,-0.311111,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
2.300000,0.100000,0.000000,0.000000,0.000000,-0.326389,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
