26/02/2019 12:14
Time (s), Time step (s),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel, X dist target, Y dist target
0.000000,962.443000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-100.000000
0.211000,0.211000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
0.092000,0.046000,0.000000,0.000000,0.000000,0.000000,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
0.300000,0.100000,0.000000,0.000000,0.000000,-0.008333,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
0.404000,0.101000,0.000000,0.000000,0.000000,-0.015278,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
0.495000,0.099000,0.000000,0.000000,0.000000,-0.022222,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
0.600000,0.100000,0.000000,0.000000,0.000000,-0.030556,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
0.707000,0.101000,0.000000,0.000000,0.000000,-0.038889,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
0.792000,0.099000,0.000000,0.000000,0.000000,-0.045833,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
0.900000,0.100000,0.000000,0.000000,0.000000,-0.052778,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
1.010000,0.101000,0.000000,0.000000,0.000000,-0.061111,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
1.089000,0.099000,0.000000,0.000000,0.000000,-0.070833,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
1.200000,0.100000,0.000000,0.000000,0.000000,-0.077778,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
1.300000,0.100000,0.000000,0.000000,0.000000,-0.084722,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
1.400000,0.100000,0.000000,0.000000,0.000000,-0.093056,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
1.500000,0.100000,0.000000,0.000000,0.000000,-0.102778,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
1.600000,0.100000,0.000000,0.000000,0.000000,-0.111111,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
1.700000,0.100000,0.000000,0.000000,0.000000,-0.118056,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
1.818000,0.101000,0.000000,0.000000,0.000000,-0.125000,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
1.881000,0.099000,0.000000,0.000000,0.000000,-0.133333,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
2.000000,0.100000,0.000000,0.000000,0.000000,-0.143056,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
2.121000,0.101000,0.000000,0.000000,0.000000,-0.151389,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
2.178000,0.099000,0.000000,0.000000,0.000000,-0.156944,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
2.300000,0.100000,0.000000,0.000000,0.000000,-0.163889,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
2.400000,0.100000,0.000000,0.000000,0.000000,-0.173611,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
2.500000,0.100000,0.000000,0.000000,0.000000,-0.181944,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
2.626000,0.101000,0.000000,0.000000,0.000000,-0.188889,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
2.673000,0.099000,0.000000,0.000000,0.000000,-0.195833,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
2.800000,0.100000,0.000000,0.000000,0.000000,-0.204167,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
2.929000,0.101000,0.000000,0.000000,0.000000,-0.212500,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
2.970000,0.099000,0.000000,0.000000,0.000000,-0.220833,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
3.100000,0.100000,0.000000,0.000000,0.000000,-0.227778,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
3.200000,0.100000,0.000000,0.000000,0.000000,-0.234722,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
3.300000,0.100000,0.000000,0.000000,0.000000,-0.243056,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
3.434000,0.101000,0.000000,0.000000,0.000000,-0.251389,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
3.465000,0.099000,0.000000,0.000000,0.000000,-0.259722,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
3.600000,0.100000,0.000000,0.000000,0.000000,-0.266667,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
3.737000,0.101000,0.000000,0.000000,0.000000,-0.273611,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
3.762000,0.099000,0.000000,0.000000,0.000000,-0.281944,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
3.900000,0.100000,0.000000,0.000000,0.000000,-0.291667,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
4.040000,0.101000,0.000000,0.000000,0.000000,-0.298611,500.000000,0.000000,0.000000,500.000000,500.000000,0.000000,-100.000000
